Site,Plot,Year,ALDE,BRAR5,BRBR5,BRTE,BUAR3,CHJU,ERCI6,HOUM,LASE,POBU,SECE,SIAL2,TACA8,TRDU,VEDU,VUMY
5,6,2021,0,0.449275362,0,0.072463768,0,0.463768116,0,0,0.014492754,0,0,0,0,0,0,0
5,6,2022,0,0.481927711,0,0.096385542,0,0.421686747,0,0,0,0,0,0,0,0,0,0
5,6,2023,0,0.323529412,0,0.058823529,0,0.617647059,0,0,0,0,0,0,0,0,0,0
5,6,2024,0,0.396226415,0,0,0,0.603773585,0,0,0,0,0,0,0,0,0,0
5,7,2021,0,0.2,0,0.044444444,0,0.755555556,0,0,0,0,0,0,0,0,0,0
5,7,2022,0,0,0,0,0,0.909090909,0,0,0,0.090909091,0,0,0,0,0,0
5,7,2023,0,0,0,0,0,0.96875,0,0,0.03125,0,0,0,0,0,0,0
5,7,2024,0,0.071428571,0,0,0,0.928571429,0,0,0,0,0,0,0,0,0,0
5,8,2021,0,0.472222222,0,0.180555556,0,0.333333333,0,0,0.013888889,0,0,0,0,0,0,0
5,8,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,8,2023,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,8,2024,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,9,2021,0,0.428571429,0,0,0,0.571428571,0,0,0,0,0,0,0,0,0,0
5,9,2022,0,0.25,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0
5,9,2023,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,9,2024,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,10,2021,0,0,0,0.82,0,0,0.18,0,0,0,0,0,0,0,0,0
5,10,2022,0,0,0,0,0,0.2,0.2,0,0,0.6,0,0,0,0,0,0
5,10,2023,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0
5,10,2024,0,0,0,0,0,0,0.333333333,0,0,0.666666667,0,0,0,0,0,0
5,11,2021,0,0,0,0.477777778,0,0.4,0.022222222,0,0,0.044444444,0.055555556,0,0,0,0,0
5,11,2022,0,0,0,0,0,0.3125,0,0,0,0.375,0.3125,0,0,0,0,0
5,11,2023,0,0,0,0,0,0.510638298,0.042553191,0,0,0.255319149,0.191489362,0,0,0,0,0
5,11,2024,0,0,0,0,0,0.681818182,0.090909091,0,0,0,0.227272727,0,0,0,0,0
5,12,2021,0,0.175675676,0,0.243243243,0,0.567567568,0,0,0.013513514,0,0,0,0,0,0,0
5,12,2022,0,0.323529412,0,0.264705882,0,0.411764706,0,0,0,0,0,0,0,0,0,0
5,12,2023,0,0.5,0,0.051020408,0,0.448979592,0,0,0,0,0,0,0,0,0,0
5,12,2024,0,0.554054054,0,0,0,0.445945946,0,0,0,0,0,0,0,0,0,0
5,13,2021,0,0,0,0,0,0.918918919,0,0.081081081,0,0,0,0,0,0,0,0
5,13,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,13,2023,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,13,2024,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,1,2021,0,0.017857143,0.339285714,0.357142857,0,0.285714286,0,0,0,0,0,0,0,0,0,0
6,1,2022,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0
6,1,2023,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,1,2024,0,0,0.25,0.125,0,0.625,0,0,0,0,0,0,0,0,0,0
6,2,2021,0,0.019230769,0.326923077,0.461538462,0,0.153846154,0,0,0.038461538,0,0,0,0,0,0,0
6,2,2022,0,0,0.39,0.15,0,0.15,0,0,0.27,0.03,0,0,0,0.01,0,0
6,2,2023,0,0,0.580645161,0.14516129,0,0.225806452,0,0,0.016129032,0.016129032,0,0,0,0.016129032,0,0
