Site_number,Site,Plot,Sprayed,Size,Long,Lat,coords.UTM1,coords.UTM2,elevation,slope,aspect,TPI,TRI,SWness,Heatload
7.005,7,5,Yes,2x2,-116.025,43.57818,578733.5,4825486,1174.362,16.4101,203.026,0.169159,2.321503,0.927354,0.861038
7.006,7,6,Yes,2x2,-116.025,43.57834,578734.2,4825503,1180.068,17.76332,206.8343,0.280975,2.514954,0.950159,0.870015
7.007,7,7,No,2x2,-116.024,43.57787,578765.4,4825452,1162.761,16.38961,149.7532,-0.17027,2.268417,0.254656,0.783076
7.008,7,8,Yes,2x2,-116.025,43.57799,578760.1,4825465,1168.937,18.47729,159.3568,0.275177,2.643433,0.412417,0.824603
7.009,7,9,Yes,2x2,-116.025,43.5779,578748.4,4825455,1166.94,14.76034,185.1622,0.169998,2.0746,0.767861,0.844145
8.001,8,1,Yes,2x2,-116.037,43.58641,577705.8,4826388,1269.094,16.54159,166.8759,0.204529,2.32608,0.528081,0.832291
8.01,8,10,Yes,2x2,-116.037,43.58691,577770.4,4826444,1272.839,15.02501,127.0648,-0.13008,2.002792,-0.13805,0.701841
8.011,8,11,Yes,2x2,-116.037,43.587,577769.8,4826455,1274.46,16.24779,120.5825,-0.0522,2.258377,-0.24899,0.676557
8.012,8,12,No,2x2,-116.037,43.58707,577760.2,4826462,1277.152,17.67527,124.7703,0.122391,2.435135,-0.1776,0.690585
8.013,8,13,Yes,2x2,-116.037,43.58726,577768.8,4826483,1280.999,20.07157,108.4227,-0.42319,2.877777,-0.4474,0.612064
8.002,8,2,Yes,2x2,-116.037,43.58641,577716.6,4826389,1268.207,16.75085,158.2969,0.229965,2.373123,0.395496,0.811335
8.003,8,3,Yes,2x2,-116.037,43.58648,577721.5,4826396,1269.43,17.22059,151.7674,-0.13284,2.417053,0.288488,0.793425
8.004,8,4,Yes,2x2,-116.037,43.58649,577731.1,4826397,1267.972,16.68239,151.1022,-0.12943,2.327148,0.277352,0.78878
8.005,8,5,No,2x2,-116.037,43.58661,577738.9,4826411,1270.756,17.9499,150.6325,-0.05453,2.515198,0.269466,0.792668
8.006,8,6,Yes,2x2,-116.037,43.5866,577749.9,4826409,1267.677,17.29375,149.218,0.008148,2.402344,0.245612,0.785049
8.007,8,7,Yes,2x2,-116.037,43.5867,577751.3,4826421,1270.457,16.98602,148.3284,0.194,2.352631,0.230533,0.780758
8.008,8,8,Yes,2x2,-116.037,43.58674,577763,4826425,1271.181,16.07313,141.6335,0.205612,2.137527,0.115518,0.754489
8.009,8,9,No,2x2,-116.037,43.58685,577765.4,4826437,1273.083,15.8126,135.7675,-0.1244,2.067429,0.013395,0.733208
9.001,9,1,No,2x2,-116.032,43.58234,578121.2,4825941,1227.42,19.45716,65.92798,0.013062,2.777283,-0.93403,0.466768
9.01,9,10,Yes,2x2,-116.033,43.5828,578084.3,4825991,1233.144,21.16455,77.02018,-0.14322,3.029083,-0.84786,0.482068
9.011,9,11,Yes,2x2,-116.033,43.58276,578089.6,4825987,1229.487,19.96867,74.15247,-0.18958,2.868011,-0.87333,0.484412
9.012,9,12,Yes,2x2,-116.033,43.58266,578091.4,4825976,1230.439,19.61727,68.24022,-0.48405,2.815933,-0.91886,0.471161
9.013,9,13,No,2x2,-116.032,43.58266,578110.4,4825977,1224.31,19.45354,65.01134,-0.14296,2.791183,-0.93962,0.464497
9.002,9,2,Yes,2x2,-116.032,43.58241,578117.3,4825948,1229.175,20.03477,65.54668,-0.03343,2.868698,-0.93639,0.459887
9.003,9,3,Yes,2x2,-116.033,43.5824,578104.1,4825948,1232.53,21.1045,65.82596,-0.1098,3.021088,-0.93466,0.449775
9.004,9,4,Yes,2x2,-116.033,43.58252,578097.7,4825960,1234.378,21.55877,59.85605,0.082932,3.086655,-0.96657,0.430235
9.005,9,5,No,2x2,-116.033,43.58246,578089.9,4825954,1234.378,21.55877,59.85605,0.082932,3.086655,-0.96657,0.430235
9.006,9,6,Yes,2x2,-116.033,43.58254,578078.1,4825963,1241.743,23.33083,62.60991,0.108765,3.361572,-0.95314,0.419103
9.007,9,7,Yes,2x2,-116.033,43.58268,578077.5,4825979,1238.061,22.18848,70.58673,-0.13991,3.234085,-0.90193,0.452441
9.008,9,8,Yes,2x2,-116.033,43.58263,578063.2,4825972,1243.495,21.9088,62.56959,0.014725,3.139755,-0.95335,0.433255
9.009,9,9,Yes,2x2,-116.033,43.58276,578077.7,4825987,1237.015,21.15012,76.01402,-0.00198,3.056366,-0.85704,0.47898
