"","Species","Scientific","Common","Native_Exotic_Planted","Invasive","Growth_form","Life_history","Functional.group","GroupedFunctional"
"19","BRBR5","Bromus briziformis Fisch. & C.A. Mey.","rattlesnake brome","Exotic","Y","Grass","Annual","EAG","AG"
"20","BRIN2","Bromus inermis Leyss.","smooth brome","Planted","N","Grass","Perennial","PG","PG"
"21","BRTE","Bromus tectorum L.","cheatgrass","Exotic","Y","Grass","Annual","EAG","AG"
"22","BUAR3","Buglossoides arvensis (L.) I.M. Johnst.","corn gromwell","Exotic","Y","Forb","Annual","EAF","AF"
"23","CALOC","Calochortus Pursh","mariposa lily","Native","N","Forb","Perennial","NPF","PF"
"24","CAMI2","Camelina microcarpa Andrz. ex DC.","littlepod falseflax","Exotic","N","Forb","Annual","EAF","AF"
"25","CHJU","Chondrilla juncea L. (without biocontrol)","rush skeletonweed","Exotic","Y","Forb","Perennial","EPF","PF"
"26","CHJUMG","CHJU with midge","","Exotic","Y","Forb","Perennial","EPF","PF"
"27","CHJUMT","CHJU with mite","","Exotic","Y","Forb","Perennial","EPF","PF"
"28","CHJUR","CHJU with rust","","Exotic","Y","Forb","Perennial","EPF","PF"
"29","CHMA15","Chamaesyce maculata (L.) Small","spotted sandmat","Native","N","Forb","Annual","NAF","AF"
"30","CLPE","Claytonia perfoliata Donn ex Willd.","miner's lettuce","Native","N","Forb","Annual","NAF","AF"
"31","COGR4","Collomia grandiflora Douglas ex Lindl.","grand collomia","Native","N","Forb","Annual","NAF","AF"
"32","COUM","Comandra umbellata (L.) Nutt.","bastard toadflax","Native","N","Forb","Perennial","NPF","PF"
"33","CREPI","Crepis L.","hawksbeard","Native","N","Forb","Perennial","NPF","PF"
"34","CRYPT","Cryptantha Lehm. ex G. Don","cryptantha","Native","N","Forb","Annual","NAF","AF"
"35","CRYPT1","Cryptantha Lehm. ex G. Don","cryptantha","Native","N","Forb","Annual","NAF","AF"
"36","CRYPT2","Cryptantha Lehm. ex G. Don","cryptantha","Native","N","Forb","Annual","NAF","AF"
"37","DACA3","Danthonia californica Bol.","California oatgrass","Native","N","Grass","Perennial","PG","PG"
"38","DEPI","Descurainia pinnata (Walter) Britton","western tansymustard","Native","N","Forb","Annual","NAF","AF"
"39","DESO2","Descurainia sophia (L.) Webb ex Prantl","herb sophia","Exotic","N","Forb","Annual","EAF","AF"
"40","DRVE2","Draba verna L.","spring draba","Exotic","N","Forb","Annual","EAF","AF"
"41","ELEL5","Elymus elymoides (Raf.) Swezey","squirreltail","Native","N","Grass","Perennial","PG","PG"
"42","ELGL","Elymus glaucus Buckley","blue wildrye","Native","N","Grass","Perennial","PG","PG"
"43","ELLA3","Elymus lanceolatus (Scribn. & J.G. Sm.) Gould","thickspike wheatgrass","Native","N","Grass","Perennial","PG","PG"
"44","ELRE4","Elymus repens (L.) Gould","quackgrass","Planted","N","Grass","Perennial","PG","PG"
"45","ELTR7","Elymus trachycaulus (Link) Gould ex Shinners","slender wheatgrass","Native","N","Grass","Perennial","PG","PG"
"46","EPBR3","Epilobium brachycarpum C. Presl","tall annual willowherb","Native","N","Forb","Annual","NAF","AF"
"47","ERAP","Erigeron aphanactis (A. Gray) Greene","rayless shaggy fleabane","Native","N","Forb","Perennial","NPF","PF"
"48","ERCI6","Erodium cicutarium (L.) L'Hér. ex Aiton","redstem stork's bill","Exotic","Y","Forb","Annual","EAF","AF"
"49","ERHE2","Eriogonum heracleoides Nutt.","parsnipflower buckwheat","Native","N","Forb","Perennial","NPF","PF"
"50","ERIOG","Eriogonum Michx.","buckwheat","Native","N","Forb","Perennial","NPF","PF"
"51","ERNA10","Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird","rubber rabbitbrush","Native","N","Shrub","Perennial","NS","NS"
"52","ERTR13","Eremopyrum triticeum (Gaertn.) Nevski","annual wheatgrass","Exotic","N","Grass","Annual","EAG","AG"
"53","ERUM","Eriogonum umbellatum Torr.","sulphur-flower buckwheat","Native","N","Forb","Perennial","NPF","PF"
"54","ERVI5","Eriogonum vimineum Douglas ex Benth.","wickerstem buckwheat","Native","N","Forb","Annual","NAF","AF"
