Year,Season,Year_Season,Site,Plot,Depth,watercontent_g.g.instant,WHC_g.g.instant,NH4.instant,NO3.instant,N_ug.g.instant,watercontent_g.g.incubated,WHC_g.g.incubated,NH4.incubated,NO3.incubated,N_ug.g.incubated
2021,Fall,2021Fall,7,1,0-10,0.031264,0.378843,1.013873,4.889835,5.903708,0.031264,0.378843,0.128303,1.080594,1.208897
2021,Fall,2021Fall,7,2,0-10,0.02696,0.347441,2.250855,6.716742,8.967597,0.02696,0.347441,0.129392,1.442903,1.572294
2021,Fall,2021Fall,7,3,0-10,0.032509,0.330595,2.056284,4.649899,6.706184,0.032509,0.330595,0.12652,1.058448,1.184968
2021,Fall,2021Fall,7,4,0-10,0.028326,0.285769,1.556142,4.361468,5.91761,0.028326,0.285769,0.09512,0.895867,0.990987
2021,Fall,2021Fall,7,5,0-10,0.037476,0.308747,1.733423,5.475304,7.208727,0.037476,0.308747,0.117077,1.00921,1.126287
2021,Fall,2021Fall,7,6,0-10,0.031582,0.326687,3.074906,9.221282,12.29619,0.031582,0.326687,1.204262,1.211796,2.416058
2021,Fall,2021Fall,7,7,0-10,0.043433,0.440761,2.781425,9.434493,12.21592,0.043433,0.440761,0.135126,1.478839,1.613965
2021,Fall,2021Fall,7,8,0-10,0.03202,0.38659,0.824708,5.396356,6.221063,0.03202,0.38659,0.110434,1.164135,1.274568
2021,Fall,2021Fall,7,9,0-10,0.024644,0.321698,2.366393,4.872205,7.238598,0.024644,0.321698,0.178586,1.074936,1.253522
2021,Fall,2021Fall,7,10,0-10,0.029735,0.354578,17.33948,4.927033,22.26651,0.029735,0.354578,1.575594,1.600135,3.175729
2021,Fall,2021Fall,7,11,0-10,0.031901,0.306867,1.322393,5.329794,6.652186,0.031901,0.306867,0.200587,0.885278,1.085865
2021,Fall,2021Fall,7,12,0-10,0.03128,0.309923,0.680774,1.983726,2.6645,0.03128,0.309923,0.147265,0.75049,0.897755
2021,Fall,2021Fall,7,13,0-10,0.034557,0.311458,1.39803,6.48411,7.882141,0.034557,0.311458,0.074289,1.133548,1.207836
2021,Fall,2021Fall,8,1,0-10,0.041719,0.48029,2.863411,7.226429,10.08984,0.041719,0.48029,0.147737,1.858036,2.005774
2021,Fall,2021Fall,8,2,0-10,0.037993,0.484078,0.519214,7.335315,7.854529,0.037993,0.484078,0.324605,1.6954,2.020005
2021,Fall,2021Fall,8,3,0-10,0.032856,0.476299,0.780334,7.302429,8.082764,0.032856,0.476299,0.128085,1.647603,1.775689
2021,Fall,2021Fall,8,4,0-10,0.037833,0.448613,0.662675,8.728811,9.391486,0.037833,0.448613,0.388985,1.506754,1.895739
2021,Fall,2021Fall,8,5,0-10,0.031292,0.42025,2.813275,3.833799,6.647073,0.031292,0.42025,0.213938,1.56963,1.783568
2021,Fall,2021Fall,8,6,0-10,0.030662,0.408627,3.56251,4.255389,7.817899,0.030662,0.408627,0.231056,1.641586,1.872642
2021,Fall,2021Fall,8,7,0-10,0.03069,0.382594,6.619246,9.156993,15.77624,0.03069,0.382594,0.743287,1.977461,2.720749
2021,Fall,2021Fall,8,8,0-10,0.031009,0.404954,2.095872,5.185143,7.281015,0.031009,0.404954,0.209613,1.775703,1.985316
2021,Fall,2021Fall,8,9,0-10,0.046769,0.47687,2.19297,8.957118,11.15009,0.046769,0.47687,0.421857,1.739561,2.161419
2021,Fall,2021Fall,8,10,0-10,0.043791,0.462605,0.976894,2.099007,3.0759,0.043791,0.462605,0.496745,1.150588,1.647333
2021,Fall,2021Fall,8,11,0-10,0.032748,0.390893,1.862393,4.415923,6.278316,0.032748,0.390893,0.227619,1.305222,1.532841
2021,Fall,2021Fall,8,12,0-10,0.024963,0.408986,0.711427,8.691487,9.402914,0.024963,0.408986,0.206475,1.326791,1.533266
2021,Fall,2021Fall,8,13,0-10,0.038008,0.401998,2.383424,9.356519,11.73994,0.038008,0.401998,0.291144,1.252694,1.543838
2021,Fall,2021Fall,9,1,0-10,0.026688,0.500196,2.485165,2.625902,5.111067,0.026688,0.500196,0.198614,1.05964,1.258255
2021,Fall,2021Fall,9,2,0-10,0.039858,0.559654,1.884126,2.901093,4.785219,0.039858,0.559654,0.246325,1.417048,1.663373
2021,Fall,2021Fall,9,3,0-10,0.048075,0.54676,0.605433,1.923303,2.528735,0.048075,0.54676,0.326042,1.093416,1.419457
2021,Fall,2021Fall,9,4,0-10,0.041249,0.484223,2.474835,9.858808,12.33364,0.041249,0.484223,0.20284,1.482128,1.684968
2021,Fall,2021Fall,9,5,0-10,0.048965,0.5398,2.23545,3.170749,5.4062,0.048965,0.5398,0.214307,1.413099,1.627407
2021,Fall,2021Fall,9,6,0-10,0.046018,0.684586,0.678441,5.551773,6.230214,0.046018,0.684586,0.250187,1.796646,2.046832
2021,Fall,2021Fall,9,7,0-10,0.035412,0.535857,1.527132,10.44781,11.97494,0.035412,0.535857,0.224154,1.309973,1.534127
2021,Fall,2021Fall,9,8,0-10,0.034269,0.544592,3.173696,7.307957,10.48165,0.034269,0.544592,0.232697,1.403902,1.636598
2021,Fall,2021Fall,9,9,0-10,0.044792,0.588978,0.677732,6.575478,7.25321,0.044792,0.588978,0.177299,1.146047,1.323346
2021,Fall,2021Fall,9,10,0-10,0.043935,0.597197,0.805902,8.56433,9.370232,0.043935,0.597197,0.236329,1.590623,1.826952
2021,Fall,2021Fall,9,11,0-10,0.053134,0.590482,1.277024,4.478083,5.755107,0.053134,0.590482,0.196398,1.535471,1.731869
2021,Fall,2021Fall,9,12,0-10,0.050978,0.56991,3.566346,5.381591,8.947937,0.050978,0.56991,0.209405,1.941935,2.15134
2021,Fall,2021Fall,9,13,0-10,0.032478,0.392524,1.120432,3.101578,4.22201,0.032478,0.392524,0.219764,1.102232,1.321996
2021,Fall,2021Fall,10,1,0-10,0.042239,0.507502,2.320067,5.332011,7.652079,0.042239,0.507502,0.294014,1.400985,1.694999
2021,Fall,2021Fall,10,2,0-10,0.031216,0.478007,0.642758,10.11802,10.76078,0.031216,0.478007,0.303986,1.687724,1.99171
2021,Fall,2021Fall,10,3,0-10,0.038741,0.648432,-0.02277,6.722068,6.699296,0.038741,0.648432,0.286924,1.814877,2.1018
2021,Fall,2021Fall,10,4,0-10,0.045411,0.464065,0.509164,6.437311,6.946474,0.045411,0.464065,0.797598,1.051685,1.849284
2021,Fall,2021Fall,10,5,0-10,0.056214,0.575273,0.08486,1.470171,1.555031,0.056214,0.575273,0.196672,1.139797,1.336469
2021,Fall,2021Fall,10,6,0-10,0.039548,0.53928,1.201473,4.935014,6.136487,0.039548,0.53928,0.172679,1.573526,1.746206
2021,Fall,2021Fall,10,7,0-10,0.041322,0.460928,1.722011,2.220318,3.942329,0.041322,0.460928,0.308039,1.329777,1.637816
2021,Fall,2021Fall,10,8,0-10,0.053261,0.542322,1.058474,1.407468,2.465942,0.053261,0.542322,0.206628,1.21512,1.421748
2021,Fall,2021Fall,10,9,0-10,0.045863,0.484842,0.175554,1.556829,1.732383,0.045863,0.484842,0.203227,1.149731,1.352958
2021,Fall,2021Fall,10,10,0-10,0.043841,0.531648,1.519727,3.729458,5.249185,0.043841,0.531648,0.280374,1.289286,1.56966
2021,Fall,2021Fall,10,11,0-10,0.044839,0.533693,1.610242,3.631283,5.241525,0.044839,0.533693,0.246507,1.397804,1.644311
2021,Fall,2021Fall,10,12,0-10,0.041033,0.490819,0.018206,9.673084,9.69129,0.041033,0.490819,0.278251,1.720291,1.998542
2021,Fall,2021Fall,10,13,0-10,0.025467,0.400043,2.408185,3.005155,5.41334,0.025467,0.400043,0.255566,0.980958,1.236523
2022,Spring,2022Spring,1,1,0-10,0.054333,0.542752,4.269276,0.740438,5.009713,0.054333,0.542752,0.323344,1.23025,1.553594
2022,Spring,2022Spring,1,2,0-10,0.050711,0.35369,2.107423,3.748902,5.856325,0.050711,0.35369,0.244047,0.972924,1.216971
2022,Spring,2022Spring,1,3,0-10,0.030244,0.447037,1.644073,0.338408,1.982481,0.030244,0.447037,0.307656,1.355333,1.662989
